Mouse_ID,qPCR_Date,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_3_Ep,Ct_4_Ep,Ct_5_Ep,Ct_6_Ep,Flag_Ct_1_Ep,Flag_Ct_2_Ep,Flag_Ct_3_Ep,Flag_Ct_4_Ep,Flag_Ct_5_Ep,Flag_Ct_6_Ep,Consistent_Ct_Ep,Corrected_Ct_Ep,Ct_mean_Ep,Ct_mean_ABI,Ct_mean,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI
AA_0089,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0090,4/18/2019,YVT,Eppendorf,1,10.25,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0091,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0092,4/18/2019,YVT,Eppendorf,1,12.83,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0093,4/18/2019,YVT,Eppendorf,1,11.42,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0094,4/18/2019,YVT,Eppendorf,1,10.81,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0095,4/18/2019,YVT,Eppendorf,1,11.96,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0096,4/18/2019,YVT,Eppendorf,1,39.73,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0097,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0098,4/18/2019,YVT,Eppendorf,1,8.79,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0102,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0103,4/18/2019,YVT,Eppendorf,1,10.73,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0104,4/18/2019,YVT,Eppendorf,1,9.1,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0105,4/18/2019,YVT,Eppendorf,1,3.05,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0107,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0113,4/18/2019,YVT,Eppendorf,1,13.17,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0115,4/18/2019,YVT,Eppendorf,1,12.31,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0117,4/18/2019,YVT,Eppendorf,1,22.05,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0122,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0124,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0125,4/18/2019,YVT,Eppendorf,1,9.39,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0126,4/18/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0127,4/18/2019,YVT,Eppendorf,1,10.75,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0129,4/18/2019,YVT,Eppendorf,1,10.65,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0130,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0131,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0132,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0133,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0134,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0135,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0136,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0137,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0138,4/11/2019,YVT,Eppendorf,1,39.87,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0141,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0142,4/11/2019,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
