Mouse_ID,Ct_1,Ct_2,Ct_mean,Oocyts_1,Oocyst_2,Oocyst_mean,Oocyst_calculated,Final_Oocyst_calculated
AA_0537,32.4,32.63,32.52,11255,10055,10655,4849.693429,4850
AA_0538,0,0,0,0,0,0,0,0
AA_0539,0,0,0,0,0,0,0,0
AA_0540,0,0,0,0,0,0,0,0
AA_0541,0,0,0,0,0,0,0,0
AA_0542,0,0,0,0,0,0,0,0
AA_0543,0,0,0,0,0,0,0,0
AA_0544,0,0,0,0,0,0,0,0
AA_0545,33.85,0,33.67,4264,5113,4688,2581.693979,2582
AA_0546,30.7,0,30.68,21700,22281,21991,13298.71025,13299
AA_0547,0,0,0,0,0,0,0,0
AA_0548,34.25,0,0,3456,0,0,0,0
AA_0548,0,0,0,0,0,0,0,0
AA_0549,0,0,0,0,0,0,0,0
AA_0550,0,0,0,0,0,0,0,0
AA_0551,0,0,0,0,0,0,0,0
AA_0552,0,0,0,0,0,0,0,0
AA_0553,34.06,34.88,34.47,3825,2501,3163,1665.054953,1665
AA_0554,30.65,30.93,30.79,22300,19338,20819,12520.42432,12520
AA_0556,0,0,0,0,0,0,0,0
AA_0557,33.83,34.25,34.04,4295,3469,3882,2107.703534,2108
AA_0558,0,0,0,0,0,0,0,0
AA_0559,34.1,35.16,34.63,3219,1840,2529,1525.222957,1525
AA_0560,0,0,0,0,0,0,0,0
AA_0561,0,0,0,0,0,0,0,0
AA_0562,0,0,0,0,0,0,0,0
AA_0564,0,0,0,0,0,0,0,0
AA_0565,0,0,0,0,0,0,0,0
AA_0566,37.98,0,0,420,0,0,0,0
AA_0566,36.85,0,0,1033,0,0,0,0
AA_0566,0,0,0,0,0,0,0,0
AA_0567,18.89,0,0,9.33E+06,0,0,0,0
AA_0568,0,0,0,0,0,0,0,0
AA_0569,39.43,0,0,196,0,0,0,0
AA_0569,0,0,0,0,0,0,0,0
AA_0569,0,0,0,0,0,0,0,0
AA_0570,36.39,16.76,26.57,969,0,1.43E+07,126584.623,126585
AA_0570,0,0,0,0,0,0,0,0
AA_0571,30.77,31.15,30.96,18397,0,16758,11406.24924,11406
AA_0572,0,0,0,0,0,0,0,0
AA_0573,0,0,0,0,0,0,0,0
AA_0574,0,0,0,0,0,0,0,0
AA_0575,0,0,0,0,0,0,0,0
AA_0576,0,0,0,0,0,0,0,0
AA_0577,0,0,0,0,0,0,0,0
AA_0578,0,0,0,0,0,0,0,0
AA_0578,29.2,29.3,29.25,54202,0,52949,29126.32655,29126
AA_0579,36.27,0,0,1485,0,0,0,0
AA_0579,35.47,0,0,1707,0,0,0,0
AA_0579,36.75,0,0,1619,0,0,0,0
AA_0580,34.38,34.05,34.21,3897,4600,4249,1920.141939,1920
AA_0581,0,0,0,0,0,0,0,0
AA_0582,0,0,0,0,0,0,0,0
AA_0583,0,0,0,0,0,0,0,0
AA_0584,0,0,0,0,0,0,0,0
AA_0585,34.62,34.59,34.6,3444,3504,3474,1550.51578,1551
AA_0586,0,0,0,0,0,0,0,0
AA_0587,0,0,0,0,0,0,0,0
AA_0588,0,0,0,0,0,0,0,0
AA_0589,32.26,32.55,32.4,11431,9888,10660,5179.474679,5179
AA_0590,0,0,0,0,0,0,0,0
AA_0591,0,0,0,0,0,0,0,0
AA_0592,0,0,0,0,0,0,0,0
AA_0593,0,0,0,0,0,0,0,0
AA_0594,0,0,0,0,0,0,0,0
AA_0595,0,0,0,0,0,0,0,0
AA_0596,0,0,0,0,0,0,0,0
AA_0597,22.55,0,0,1.40E+06,0,0,0,0
AA_0598,0,0,0,0,0,0,0,0
AA_0599,0,0,0,0,0,0,0,0
AA_0600,0,0,0,0,0,0,0,0
AA_0601,32.57,34.23,33.4,9114,3939,6527,2993.577295,2994
AA_0601,33.02,32.66,32.84,6123,7378,6750,4069.338427,4069
AA_0602,0,0,0,0,0,0,0,0
AA_0603,0,0,0,0,0,0,0,0
AA_0604,0,0,0,0,0,0,0,0
AA_0605,0,0,0,0,0,0,0,0
AA_0606,0,0,0,0,0,0,0,0
AA_0607,0,0,0,0,0,0,0,0
AA_0608,0,0,0,0,0,0,0,0
AA_0609,0,0,0,0,0,0,0,0
AA_0610,0,0,0,0,0,0,0,0
AA_0612,0,0,0,0,0,0,0,0
AA_0613,0,0,0,0,0,0,0,0
AA_0614,19.14,0,0,7.77E+06,0,0,0,0
AA_0614,8.44,0,0,2.27E+09,0,0,0,0
AA_0615,0,0,0,0,0,0,0,0
AA_0616,0,0,0,0,0,0,0,0
AA_0617,37.09,0,0,800,0,0,0,0
AA_0617,0,0,0,0,0,0,0,0
AA_0618,5.08,0,0,1.04E+10,1.04E+10,1.04E+10,0,0
AA_0618,0,0,0,0,0,0,0,0
AA_0619,0,0,0,0,0,0,0,0
AA_0620,0,0,0,0,0,0,0,0
AA_0621,0,0,0,0,0,0,0,0
